Experience,Education and Skills,Score (out of 100)
2,"Bachelor's in Computer Science, Java, Web Development",25
7,"Master's in Data Science, Python, Statistical Modeling",80
1,"Bachelor's in Mathematics, Python, Data Analysis",40
6,"Bachelor's in Data Science, R, Statistical Modeling",75
4,"Master's in Data Analytics, SQL, Data Visualization",70
9,"Bachelor's in Computer Engineering, Python, Algorithms",90
5,"Master's in Machine Learning, Python, Deep Learning",95
10,"Bachelor's in Economics, Econometrics, R",60
3,"Bachelor's in Information Technology, SQL, Python",35
8,"Master's in Data Science, Python, Statistical Modeling",80
2,"Bachelor's in Computer Science, Java, Data Structures",30
7,"Master's in Data Science, Python, Machine Learning",90
1,"Bachelor's in Mathematics, Python, Data Visualization",45
6,"Bachelor's in Data Science, R, Statistical Modeling",75
4,"Master's in Data Analytics, SQL, Data Visualization",70
9,"Bachelor's in Computer Engineering, Python, Algorithms",90
5,"Master's in Machine Learning, Python, Deep Learning",95
10,"Bachelor's in Economics, Econometrics, R",60
3,"Bachelor's in Information Technology, SQL, Python",35
8,"Master's in Data Science, Python, Statistical Modeling",80
2,"Bachelor's in Computer Science, Java, Data Structures",30
7,"Master's in Data Science, Python, Machine Learning",90
5,"Bachelor's in Computer Science, Python, Web Development",40
12,"Master's in Data Science, R, Statistical Modeling",90
3,"Bachelor's in Information Technology, SQL, Data Analysis",30
9,"Master's in Computer Science, Python, Machine Learning",85
2,"Bachelor's in Mathematics, Data Visualization, Python",50
8,"Bachelor's in Data Science, SQL, Data Analysis",75
6,"Master's in Statistics, Python, Statistical Modeling",80
16,"Bachelor's in Computer Engineering, Java, Data Structures",95
10,"Master's in Machine Learning, Python, Neural Networks",85
18,"Bachelor's in Economics, Econometrics, R",60
7,"Bachelor's in Information Technology, Python, SQL",35
13,"Master's in Data Analytics, R, Data Visualization",70
4,"Bachelor's in Computer Science, Java, Web Development",25
11,"Master's in Data Science, Python, Statistical Modeling",80
1,"Bachelor's in Mathematics, Python, Data Analysis",40
15,"Bachelor's in Data Science, R, Statistical Modeling",75
17,"Master's in Data Analytics, SQL, Data Visualization",70
19,"Bachelor's in Computer Engineering, Python, Algorithms",90
14,"Master's in Machine Learning, Python, Deep Learning",95
20,"Bachelor's in Economics, Econometrics, R",60
7,"Bachelor's in Information Technology, SQL, Python",35
13,"Master's in Data Science, Python, Statistical Modeling",80
4,"Bachelor's in Computer Science, Java, Data Structures",30
11,"Master's in Data Science, Python, Machine Learning",90
1,"Bachelor's in Mathematics, Python, Data Visualization",45
15,"Bachelor's in Data Science, R, Statistical Modeling",75
17,"Master's in Data Analytics, SQL, Data Visualization",70
19,"Bachelor's in Computer Engineering, Python, Algorithms",90
14,"Master's in Machine Learning, Python, Deep Learning",95
20,"Bachelor's in Economics, Econometrics, R",60
7,"Bachelor's in Information Technology, SQL, Python",35
13,"Master's in Data Science, Python, Statistical Modeling",80
4,"Bachelor's in Computer Science, Java, Data Structures",30
11,"Master's in Data Science, Python, Machine Learning",90
6,"Bachelor's in Computer Science, Python, Web Development",35
18,"Master's in Data Science, R, Statistical Modeling",90
2,"Bachelor's in Information Technology, SQL, Data Analysis",25
9,"Master's in Computer Science, Python, Machine Learning",85
4,"Bachelor's in Mathematics, Data Visualization, Python",45
16,"Bachelor's in Data Science, SQL, Data Analysis",75
7,"Master's in Statistics, Python, Statistical Modeling",80
12,"Bachelor's in Computer Engineering, Java, Data Structures",95
8,"Master's in Machine Learning, Python, Neural Networks",85
20,"Bachelor's in Economics, Econometrics, R",55
5,"Bachelor's in Information Technology, Python, SQL",30
17,"Master's in Data Analytics, R, Data Visualization",70
3,"Bachelor's in Computer Science, Java, Web Development",20
15,"Master's in Data Science, Python, Statistical Modeling",80
1,"Bachelor's in Mathematics, Python, Data Analysis",40
10,"Bachelor's in Data Science, R, Statistical Modeling",75
14,"Master's in Data Analytics, SQL, Data Visualization",70
19,"Bachelor's in Computer Engineering, Python, Algorithms",90
11,"Master's in Machine Learning, Python, Deep Learning",95
13,"Bachelor's in Economics, Econometrics, R",50
6,"Bachelor's in Information Technology, SQL, Python",35
18,"Master's in Data Science, Python, Statistical Modeling",80
2,"Bachelor's in Computer Science, Java, Data Structures",25
9,"Master's in Data Science, Python, Machine Learning",85
4,"Bachelor's in Mathematics, Python, Data Visualization",45
16,"Bachelor's in Data Science, R, Statistical Modeling",75
7,"Master's in Data Analytics, SQL, Data Visualization",70
12,"Bachelor's in Computer Engineering, Python, Algorithms",95
8,"Master's in Machine Learning, Python, Deep Learning",85
20,"Bachelor's in Economics, Econometrics, R",55
5,"Bachelor's in Information Technology, Python, SQL",30
17,"Master's in Data Science, Python, Statistical Modeling",70
3,"Bachelor's in Computer Science, Java, Web Development",20
15,"Master's in Data Science, Python, Statistical Modeling",80
9,"Bachelor's in Computer Science, Python, Web Development",40
16,"Master's in Data Science, R, Statistical Modeling",90
3,"Bachelor's in Information Technology, SQL, Data Analysis",30
7,"Master's in Computer Science, Python, Machine Learning",85
5,"Bachelor's in Mathematics, Data Visualization, Python",50
10,"Bachelor's in Data Science, SQL, Data Analysis",75
8,"Master's in Statistics, Python, Statistical Modeling",80
19,"Bachelor's in Computer Engineering, Java, Data Structures",95
11,"Master's in Machine Learning, Python, Neural Networks",85
,,
,,
,,
,,
,,
,,
